V,I_A
0.0,9.042407236356262e-07
0.1,9.042407236356262e-07
0.2,3.9042407236356265e-06
0.3,2.7904240723635625e-05
0.4,2.3904240723635626e-05
0.5,3.890424072363562e-05
0.6,5.390424072363562e-05
0.7,5.490424072363562e-05
0.8,8.990424072363562e-05
0.9,9.290424072363562e-05
1.0,0.0001469042407236
1.1,0.0001319042407236
1.2,0.0001699042407236
1.3,0.0002029042407236
1.4,0.0002409042407236
1.5,0.0002769042407236
1.6,0.0003179042407236
1.7,0.0003119042407236
1.8,0.0004079042407236
1.9,0.0004679042407236
2.0,0.0005299042407236
2.1,0.0005639042407236
2.2,0.0006269042407236
2.3,0.0007459042407236
2.4,0.0007379042407236
2.5,0.0006729042407236
2.6,0.0008939042407236
2.7,0.0010089042407236
2.8,0.0009059042407236
2.9,0.0010459042407236
3.0,0.0008859042407236
3.1,0.0011299042407236
3.2,0.0012
3.3,0.0012
